組別,分數區間均數,人數,百分比,累計人數,累計百分比
6,238.5,259,1.15,1324,5.88
6,235.5,291,1.29,1615,7.17
6,232.5,329,1.46,1944,8.64
6,229.5,367,1.63,2311,10.27
6,226.5,392,1.74,2703,12.01
6,223.5,348,1.55,3051,13.55
6,220.5,392,1.74,3443,15.29
6,217.5,373,1.66,3816,16.95
6,214.5,442,1.96,4258,18.91
6,211.5,405,1.8,4663,20.71
6,208.5,433,1.92,5096,22.64
6,205.5,396,1.76,5492,24.4
6,202.5,401,1.78,5893,26.18
6,199.5,444,1.97,6337,28.15
6,196.5,457,2.03,6794,30.18
6,193.5,426,1.89,7220,32.07
6,190.5,471,2.09,7691,34.16
6,187.5,444,1.97,8135,36.14
6,184.5,416,1.85,8551,37.98
6,181.5,423,1.88,8974,39.86
6,178.5,441,1.96,9415,41.82
6,175.5,469,2.08,9884,43.91
6,172.5,446,1.98,10330,45.89
6,169.5,428,1.9,10758,47.79
6,166.5,492,2.19,11250,49.97
6,163.5,455,2.02,11705,51.99
6,160.5,484,2.15,12189,54.14
6,157.5,504,2.24,12693,56.38
6,154.5,462,2.05,13155,58.44
6,151.5,482,2.14,13637,60.58
6,148.5,471,2.09,14108,62.67
6,145.5,468,2.08,14576,64.75
6,142.5,479,2.13,15055,66.88
6,139.5,470,2.09,15525,68.96
6,136.5,470,2.09,15995,71.05
6,133.5,467,2.07,16462,73.13
6,130.5,423,1.88,16885,75
6,127.5,424,1.88,17309,76.89
6,124.5,414,1.84,17723,78.73
6,121.5,376,1.67,18099,80.4
6,118.5,362,1.61,18461,82.01
6,115.5,327,1.45,18788,83.46
6,112.5,311,1.38,19099,84.84
6,109.5,290,1.29,19389,86.13
6,106.5,275,1.22,19664,87.35
6,103.5,242,1.07,19906,88.42
6,100.5,219,0.97,20125,89.4
6,97.5,170,0.76,20295,90.15
6,94.5,164,0.73,20459,90.88
6,91.5,155,0.69,20614,91.57
6,88.5,153,0.68,20767,92.25
6,85.5,118,0.52,20885,92.77
6,82.5,109,0.48,20994,93.26
6,79.5,83,0.37,21077,93.63
6,76.5,89,0.4,21166,94.02
6,73.5,72,0.32,21238,94.34
6,70.5,68,0.3,21306,94.64
6,67.5,44,0.2,21350,94.84
6,64.5,45,0.2,21395,95.04
6,61.5,26,0.12,21421,95.15
6,58.5,32,0.14,21453,95.3
6,55.5,19,0.08,21472,95.38
6,52.5,24,0.11,21496,95.49
6,49.5,17,0.08,21513,95.56
6,46.5,9,0.04,21522,95.6
6,43.5,7,0.03,21529,95.63
6,40.5,8,0.04,21537,95.67
6,37.5,7,0.03,21544,95.7
6,34.5,12,0.05,21556,95.75
6,31.5,3,0.01,21559,95.77
6,28.5,8,0.04,21567,95.8
6,25.5,13,0.06,21580,95.86
6,22.5,8,0.04,21588,95.9
6,19.5,11,0.05,21599,95.94
6,16.5,19,0.08,21618,96.03
6,13.5,11,0.05,21629,96.08
6,10.5,5,0.02,21634,96.1
6,7.5,5,0.02,21639,96.12
6,4.5,1,0,21640,96.13
6,1.5,872,3.87,22512,100
7,298.5,0,0,0,0
7,295.5,0,0,0,0
7,292.5,0,0,0,0
7,289.5,0,0,0,0
7,286.5,0,0,0,0
7,283.5,0,0,0,0
7,280.5,0,0,0,0
7,277.5,3,0.01,3,0.01
7,274.5,0,0,3,0.01
7,271.5,12,0.05,15,0.06
7,268.5,10,0.04,25,0.1
7,265.5,21,0.09,46,0.19
7,262.5,33,0.13,79,0.32
7,259.5,45,0.18,124,0.51
7,256.5,62,0.25,186,0.76
7,253.5,93,0.38,279,1.14
7,250.5,114,0.47,393,1.61
7,247.5,160,0.65,553,2.26
7,244.5,160,0.65,713,2.91
7,241.5,233,0.95,946,3.86
7,238.5,204,0.83,1150,4.7
7,235.5,248,1.01,1398,5.71
7,232.5,269,1.1,1667,6.81
7,229.5,314,1.28,1981,8.09
7,226.5,344,1.41,2325,9.5
7,223.5,327,1.34,2652,10.83
7,220.5,406,1.66,3058,12.49
7,217.5,401,1.64,3459,14.13
7,214.5,384,1.57,3843,15.7
7,211.5,412,1.68,4255,17.38
7,208.5,410,1.67,4665,19.06
7,205.5,407,1.66,5072,20.72
7,202.5,414,1.69,5486,22.41
7,199.5,407,1.66,5893,24.07
7,196.5,441,1.8,6334,25.88
7,193.5,469,1.92,6803,27.79
7,190.5,432,1.76,7235,29.56
7,187.5,468,1.91,7703,31.47
7,184.5,441,1.8,8144,33.27
7,181.5,446,1.82,8590,35.09
7,178.5,473,1.93,9063,37.03
7,175.5,411,1.68,9474,38.7
7,172.5,476,1.94,9950,40.65
7,169.5,485,1.98,10435,42.63
7,166.5,453,1.85,10888,44.48
7,163.5,480,1.96,11368,46.44
7,160.5,451,1.84,11819,48.28
7,157.5,460,1.88,12279,50.16
7,154.5,519,2.12,12798,52.28
7,151.5,484,1.98,13282,54.26
7,148.5,494,2.02,13776,56.28
7,145.5,501,2.05,14277,58.33
7,142.5,508,2.08,14785,60.4
7,139.5,488,1.99,15273,62.39
7,136.5,472,1.93,15745,64.32
7,133.5,489,2,16234,66.32
7,130.5,433,1.77,16667,68.09
7,127.5,453,1.85,17120,69.94
7,124.5,472,1.93,17592,71.87
7,121.5,423,1.73,18015,73.6
7,118.5,473,1.93,18488,75.53
7,115.5,456,1.86,18944,77.39
7,112.5,432,1.76,19376,79.16
7,109.5,384,1.57,19760,80.73
7,106.5,378,1.54,20138,82.27
7,103.5,370,1.51,20508,83.78
7,100.5,333,1.36,20841,85.14
7,97.5,298,1.22,21139,86.36
7,94.5,295,1.21,21434,87.56
7,91.5,230,0.94,21664,88.5
7,88.5,226,0.92,21890,89.43
7,85.5,225,0.92,22115,90.35
7,82.5,182,0.74,22297,91.09
7,79.5,181,0.74,22478,91.83
7,76.5,177,0.72,22655,92.55
7,73.5,129,0.53,22784,93.08
